tx_name,tx_count,tx_percent,tx_90th,tx_max,tx_limit,tx_rbk,tx_error,tx_dskipped
NEW_ORDER,16713,45.000%,0.094s,0.360s,5.0,0.957%,0,N/A
PAYMENT,16010,43.107%,0.023s,0.262s,5.0,N/A,0,N/A
ORDER_STATUS,1455,3.918%,0.085s,0.243s,5.0,N/A,0,N/A
STOCK_LEVEL,1476,3.974%,0.476s,0.799s,20.0,N/A,0,N/A
DELIVERY,1486,4.001%,0.000s,0.001s,5.0,N/A,0,N/A
DELIVERY_BG,1486,N/A,0.311s,0.480s,80.0,N/A,0,0
tpmC,3342.60,1299.611%,N/A,N/A,N/A,N/A,N/A,N/A
tpmTotal,7428.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
