run,elapsed,latency,dblatency,ttype,rbk,dskipped,error
8,743,31,31,NEW_ORDER,0,0,0
8,760,37,37,NEW_ORDER,0,0,0
8,764,51,51,NEW_ORDER,0,0,0
8,766,48,48,NEW_ORDER,0,0,0
8,774,14,14,PAYMENT,0,0,0
8,788,24,24,PAYMENT,0,0,0
8,811,23,23,PAYMENT,0,0,0
8,820,77,77,NEW_ORDER,0,0,0
8,823,80,80,NEW_ORDER,0,0,0
8,827,7,7,PAYMENT,0,0,0
8,834,23,23,PAYMENT,0,0,0
8,838,11,11,PAYMENT,0,0,0
8,844,6,6,PAYMENT,0,0,0
8,849,82,82,NEW_ORDER,0,0,0
8,857,8,8,PAYMENT,0,0,0
8,859,25,25,NEW_ORDER,0,0,0
8,870,166,166,DELIVERY_BG,0,0,0
8,878,8,8,PAYMENT,0,0,0
8,883,109,109,NEW_ORDER,0,0,0
8,1166,307,307,NEW_ORDER,0,0,0
8,1171,348,348,NEW_ORDER,0,0,0
8,1176,331,331,NEW_ORDER,0,0,0
8,1184,13,13,PAYMENT,0,0,0
8,1190,6,6,PAYMENT,0,0,0
8,1194,18,18,PAYMENT,0,0,0
8,1196,339,339,NEW_ORDER,0,0,0
8,1201,11,11,PAYMENT,0,0,0
8,1228,61,61,NEW_ORDER,0,0,0
8,1235,39,39,NEW_ORDER,0,0,0
8,1243,360,360,NEW_ORDER,0,0,0
8,1250,7,7,PAYMENT,0,0,0
8,1261,67,67,NEW_ORDER,0,0,0
8,1262,12,12,PAYMENT,0,0,0
8,1264,36,36,NEW_ORDER,0,0,0
8,1283,22,22,ORDER_STATUS,0,0,0
8,1288,24,24,NEW_ORDER,0,0,0
8,1308,20,20,NEW_ORDER,0,0,0
8,1321,13,13,PAYMENT,0,0,0
8,1332,11,11,PAYMENT,0,0,0
8,1346,63,63,NEW_ORDER,0,0,0
8,1346,0,0,DELIVERY,0,0,0
8,1506,160,160,DELIVERY_BG,0,0,0
8,1522,16,16,PAYMENT,0,0,0
8,1550,28,28,PAYMENT,0,0,0
8,1677,799,799,STOCK_LEVEL,0,0,0
