run,elapsed,latency,dblatency,ttype,rbk,dskipped,error
11,2322,21,21,NEW_ORDER,0,0,0
11,2327,5,5,PAYMENT,0,0,0
11,2350,23,23,NEW_ORDER,0,0,0
11,2352,2,2,STOCK_LEVEL,0,0,0
11,2357,5,5,PAYMENT,0,0,0
11,2362,5,5,PAYMENT,0,0,0
11,2382,20,20,NEW_ORDER,0,0,0
11,2396,14,14,NEW_ORDER,0,0,0
11,2401,5,5,PAYMENT,0,0,0
11,2414,13,13,NEW_ORDER,0,0,0
11,2424,10,10,NEW_ORDER,0,0,0
11,2429,5,5,PAYMENT,0,0,0
11,2440,11,11,NEW_ORDER,0,0,0
11,2445,5,5,PAYMENT,0,0,0
11,2457,12,12,NEW_ORDER,0,0,0
11,2464,6,6,ORDER_STATUS,0,0,0
11,2468,4,4,PAYMENT,0,0,0
11,2473,4,4,PAYMENT,0,0,0
11,2477,4,4,PAYMENT,0,0,0
11,2493,16,16,NEW_ORDER,0,0,0
11,2516,23,23,NEW_ORDER,0,0,0
11,2521,5,5,PAYMENT,0,0,0
11,2525,4,4,PAYMENT,0,0,0
11,2545,20,20,NEW_ORDER,0,0,0
11,2550,5,5,PAYMENT,0,0,0
11,2558,8,8,PAYMENT,0,0,0
11,2563,5,5,PAYMENT,0,0,0
11,2568,5,5,PAYMENT,0,0,0
11,2581,13,13,NEW_ORDER,0,0,0
11,2593,12,12,NEW_ORDER,0,0,0
11,2604,11,11,NEW_ORDER,0,0,0
11,2610,6,6,ORDER_STATUS,0,0,0
11,2630,20,20,NEW_ORDER,0,0,0
11,2635,5,5,PAYMENT,0,0,0
11,2647,12,12,NEW_ORDER,0,0,0
11,2653,6,6,ORDER_STATUS,0,0,0
11,2678,25,25,NEW_ORDER,0,0,0
11,2694,15,15,NEW_ORDER,0,0,0
11,2701,6,6,STOCK_LEVEL,0,0,0
11,2716,15,15,NEW_ORDER,0,0,0
11,2724,8,8,PAYMENT,0,0,0
11,2729,5,5,PAYMENT,0,0,0
11,2733,4,4,PAYMENT,0,0,0
11,2751,18,18,NEW_ORDER,0,0,0
11,2766,15,15,NEW_ORDER,0,0,0
11,2777,11,11,NEW_ORDER,0,0,0
11,2782,5,5,PAYMENT,0,0,0
11,2787,5,5,PAYMENT,0,0,0
11,2808,21,21,NEW_ORDER,0,0,0
11,2812,4,4,PAYMENT,0,0,0
11,2816,4,4,PAYMENT,0,0,0
11,2821,5,5,PAYMENT,0,0,0
11,2825,4,4,PAYMENT,0,0,0
11,2829,3,3,PAYMENT,0,0,0
11,2833,3,3,PAYMENT,0,0,0
11,2837,4,4,PAYMENT,0,0,0
11,2841,4,4,PAYMENT,0,0,0
11,2845,4,4,PAYMENT,0,0,0
11,2858,13,13,NEW_ORDER,0,0,0
11,2863,5,5,PAYMENT,0,0,0
11,2882,19,19,NEW_ORDER,0,0,0
11,2886,4,4,PAYMENT,0,0,0
11,2891,5,5,PAYMENT,0,0,0
11,2910,19,19,NEW_ORDER,0,0,0
11,2927,17,17,NEW_ORDER,0,0,0
11,2942,15,15,NEW_ORDER,0,0,0
11,2947,5,5,PAYMENT,0,0,0
11,2952,5,5,STOCK_LEVEL,0,0,0
11,2959,7,7,PAYMENT,0,0,0
11,2975,16,16,NEW_ORDER,0,0,0
11,2994,19,19,NEW_ORDER,0,0,0
11,2999,5,5,PAYMENT,0,0,0
11,3009,10,10,NEW_ORDER,0,0,0
11,3014,4,4,PAYMENT,0,0,0
11,3019,5,5,PAYMENT,0,0,0
11,3023,4,4,PAYMENT,0,0,0
11,3028,5,5,STOCK_LEVEL,0,0,0
11,3030,2,2,STOCK_LEVEL,0,0,0
11,3034,4,4,PAYMENT,0,0,0
11,3042,8,8,ORDER_STATUS,0,0,0
11,3046,4,4,PAYMENT,0,0,0
11,3065,19,19,NEW_ORDER,0,0,0
11,3075,10,10,NEW_ORDER,0,0,0
11,3077,2,2,STOCK_LEVEL,0,0,0
11,3077,0,0,DELIVERY,0,0,0
11,3119,42,42,DELIVERY_BG,0,0,0
11,3142,23,23,NEW_ORDER,0,0,0
11,3146,4,4,PAYMENT,0,0,0
11,3151,5,5,PAYMENT,0,0,0
11,3156,5,5,PAYMENT,0,0,0
11,3161,5,5,PAYMENT,0,0,0
11,3166,5,5,PAYMENT,0,0,0
11,3177,11,11,NEW_ORDER,0,0,0
11,3181,4,4,PAYMENT,0,0,0
11,3202,20,20,NEW_ORDER,0,0,0
