tx_name,tx_count,tx_percent,tx_90th,tx_max,tx_limit,tx_rbk,tx_error,tx_dskipped
NEW_ORDER,12753,44.975%,0.020s,0.090s,5.0,1.043%,0,N/A
PAYMENT,12163,42.894%,0.005s,0.042s,5.0,N/A,0,N/A
ORDER_STATUS,1097,3.869%,0.006s,0.022s,5.0,N/A,0,N/A
STOCK_LEVEL,1141,4.024%,0.006s,0.054s,20.0,N/A,0,N/A
DELIVERY,1202,4.239%,0.000s,0.001s,5.0,N/A,0,N/A
DELIVERY_BG,1202,N/A,0.041s,0.091s,80.0,N/A,0,0
tpmC,2550.60,991.680%,N/A,N/A,N/A,N/A,N/A,N/A
tpmTotal,5671.20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
