tx_name,tx_count,tx_percent,tx_90th,tx_max,tx_limit,tx_rbk,tx_error,tx_dskipped
NEW_ORDER,27848,45.372%,0.094s,0.611s,5.0,0.952%,0,N/A
PAYMENT,26270,42.801%,0.033s,0.558s,5.0,N/A,0,N/A
ORDER_STATUS,2430,3.959%,0.147s,0.498s,5.0,N/A,0,N/A
STOCK_LEVEL,2466,4.018%,0.444s,0.966s,20.0,N/A,0,N/A
DELIVERY,2363,3.850%,0.000s,0.001s,5.0,N/A,0,N/A
DELIVERY_BG,2363,N/A,0.314s,0.726s,80.0,N/A,0,0
tpmC,5569.60,2165.474%,N/A,N/A,N/A,N/A,N/A,N/A
tpmTotal,12275.40,N/A,N/A,N/A,N/A,N/A,N/A,N/A
