run,elapsed,latency,dblatency,ttype,rbk,dskipped,error
12,4,0,0,DELIVERY,0,0,0
12,36,32,32,PAYMENT,0,0,0
12,37,29,29,PAYMENT,0,0,0
12,46,41,41,PAYMENT,0,0,0
12,106,97,97,NEW_ORDER,0,0,0
12,116,106,106,NEW_ORDER,0,0,0
12,117,70,70,NEW_ORDER,0,0,0
12,130,24,24,PAYMENT,0,0,0
12,135,125,125,NEW_ORDER,0,0,0
12,136,99,99,NEW_ORDER,0,0,0
12,140,131,131,NEW_ORDER,0,0,0
12,141,105,105,NEW_ORDER,0,0,0
12,142,25,25,PAYMENT,0,0,0
12,146,136,136,NEW_ORDER,0,0,0
12,155,25,25,PAYMENT,0,0,0
12,157,21,21,PAYMENT,0,0,0
12,171,55,55,PAYMENT,0,0,0
12,186,44,44,PAYMENT,0,0,0
12,192,52,52,PAYMENT,0,0,0
12,192,35,35,PAYMENT,0,0,0
12,195,185,185,NEW_ORDER,0,0,0
12,198,43,43,PAYMENT,0,0,0
12,202,31,31,PAYMENT,0,0,0
12,205,13,13,PAYMENT,0,0,0
12,217,71,71,NEW_ORDER,0,0,0
12,219,17,17,PAYMENT,0,0,0
12,223,18,18,PAYMENT,0,0,0
12,230,35,35,PAYMENT,0,0,0
12,233,16,16,PAYMENT,0,0,0
12,240,17,17,PAYMENT,0,0,0
12,244,240,240,DELIVERY_BG,0,0,0
12,245,53,53,NEW_ORDER,0,0,0
12,257,17,17,PAYMENT,0,0,0
12,257,115,115,NEW_ORDER,0,0,0
12,259,61,61,NEW_ORDER,0,0,0
12,259,14,14,PAYMENT,0,0,0
12,259,40,40,PAYMENT,0,0,0
12,274,88,88,NEW_ORDER,0,0,0
12,274,17,17,PAYMENT,0,0,0
12,283,50,50,NEW_ORDER,0,0,0
12,287,28,28,PAYMENT,0,0,0
12,296,38,38,PAYMENT,0,0,0
12,303,16,16,PAYMENT,0,0,0
12,309,78,78,NEW_ORDER,0,0,0
12,310,14,14,PAYMENT,0,0,0
12,312,9,9,PAYMENT,0,0,0
12,321,9,9,PAYMENT,0,0,0
12,323,13,13,PAYMENT,0,0,0
12,326,52,52,NEW_ORDER,0,0,0
12,333,12,12,PAYMENT,0,0,0
12,333,74,74,NEW_ORDER,0,0,0
12,349,105,105,NEW_ORDER,0,0,0
12,363,89,89,NEW_ORDER,0,0,0
12,369,6,6,PAYMENT,0,0,0
12,393,84,84,NEW_ORDER,0,0,0
12,398,65,65,NEW_ORDER,0,0,0
12,405,12,12,PAYMENT,0,0,0
