run,elapsed,device,rxpktsps,rxkbps,txpktsps,txkbps
12,1000,net_eth0,2347.0,449.299804688,2304.0,888.215820312
12,2000,net_eth0,2432.0,383.512695312,2404.0,1163.7265625
12,3000,net_eth0,1855.0,281.221679688,1870.0,630.567382812
12,4000,net_eth0,2789.0,413.1171875,2752.0,1249.79394531
12,5000,net_eth0,2688.0,403.690429688,2693.0,934.36328125
12,6000,net_eth0,3437.0,494.369140625,3376.0,1593.796875
12,7000,net_eth0,2803.0,412.854492188,2822.0,834.125976562
12,8000,net_eth0,2519.0,366.127929688,2515.0,1013.84277344
12,9000,net_eth0,3102.0,442.916015625,3068.0,1251.59765625
12,10000,net_eth0,5198.0,747.255859375,5136.0,2052.73242188
12,11000,net_eth0,3245.0,457.59375,3193.0,1457.22558594
12,12000,net_eth0,3044.0,442.645507812,3053.0,1022.28515625
12,13000,net_eth0,3603.0,516.89453125,3555.0,1530.3515625
12,14000,net_eth0,6305.0,882.09765625,6136.0,3103.08984375
12,15000,net_eth0,4497.0,621.995117188,4362.0,2395.79492188
12,16000,net_eth0,2100.0,297.686523438,2089.0,998.000976562
12,17000,net_eth0,4507.0,644.805664062,4462.0,1761.52246094
12,18000,net_eth0,6389.0,904.215820312,6256.0,2762.49804688
12,19000,net_eth0,3101.0,435.545898438,3043.0,1572.96972656
12,20000,net_eth0,2799.0,391.633789062,2762.0,1285.96582031
12,21000,net_eth0,2710.0,396.334960938,2719.0,831.705078125
12,22000,net_eth0,3734.0,546.157226562,3740.0,1043.79101562
12,23000,net_eth0,6317.0,881.627929688,6137.0,3138.86914062
12,24000,net_eth0,4581.0,644.54296875,4488.0,2148.06542969
12,25000,net_eth0,2140.0,292.306640625,2080.0,1264.76367188
12,26000,net_eth0,3627.0,505.36328125,3547.0,1958.74609375
12,27000,net_eth0,3187.0,447.63671875,3139.0,1448.67089844
12,28000,net_eth0,6292.0,875.646484375,6111.0,3172.83203125
12,29000,net_eth0,4604.0,642.037109375,4518.0,2071.84375
12,30000,net_eth0,2440.0,354.515625,2441.0,879.53125
12,31000,net_eth0,4331.0,613.881835938,4285.0,1763.64941406
