run,elapsed,device,rxpktsps,rxkbps,txpktsps,txkbps
17,1000,net_eth0,9481.0,1651.6875,9233.0,4896.77832031
17,2000,net_eth0,12185.0,2160.24023438,11926.0,5507.359375
17,3000,net_eth0,13366.0,2282.65820312,12979.0,6976.23242188
17,4000,net_eth0,13414.0,2333.36132812,13125.0,5717.10546875
17,5000,net_eth0,13282.0,2310.26855469,12962.0,6031.82910156
17,6000,net_eth0,12975.0,2279.08203125,12720.0,5295.09570312
17,7000,net_eth0,13381.0,2275.79589844,12988.0,6715.37402344
17,8000,net_eth0,12541.0,2139.36523438,12150.0,6264.98535156
17,9000,net_eth0,14660.0,2564.60253906,14322.0,6342.58691406
17,10000,net_eth0,13000.0,2265.25683594,12715.0,5789.55664062
17,11000,net_eth0,13895.0,2466.66015625,13639.0,5407.35351562
17,12000,net_eth0,13390.0,2328.59277344,13076.0,6004.87207031
17,13000,net_eth0,11365.0,1997.703125,11155.0,4691.65820312
17,14000,net_eth0,13777.0,2396.7421875,13406.0,6453.28222656
17,15000,net_eth0,13895.0,2427.74707031,13590.0,6098.99023438
17,16000,net_eth0,12876.0,2272.14355469,12664.0,4843.97753906
17,17000,net_eth0,14267.0,2443.85546875,13858.0,7067.60546875
17,18000,net_eth0,13130.0,2248.53320312,12718.0,6876.05664062
17,19000,net_eth0,13585.0,2372.42285156,13277.0,5847.36621094
17,20000,net_eth0,13341.0,2282.28320312,12953.0,6595.71679688
17,21000,net_eth0,14220.0,2435.52148438,13804.0,7008.04785156
17,22000,net_eth0,13494.0,2360.13867188,13184.0,5896.47070312
17,23000,net_eth0,14452.0,2411.98046875,13918.0,8209.28515625
17,24000,net_eth0,13637.0,2370.05859375,13322.0,5990.13378906
17,25000,net_eth0,14466.0,2478.32128906,14042.0,7066.02539062
17,26000,net_eth0,13997.0,2388.32714844,13552.0,7288.5390625
17,27000,net_eth0,14880.0,2528.64257812,14368.0,7916.53417969
17,28000,net_eth0,14550.0,2569.75,14247.0,5990.99023438
17,29000,net_eth0,14555.0,2532.75195312,14208.0,6510.9921875
17,30000,net_eth0,12780.0,2241.66894531,12470.0,5933.04882812
17,31000,net_eth0,12608.0,2247.68847656,12388.0,4789.29882812
17,32000,net_eth0,13594.0,2339.4375,13229.0,6517.1484375
17,33000,net_eth0,13582.0,2287.49414062,13119.0,7360.19433594
17,34000,net_eth0,13791.0,2389.74707031,13458.0,6134.16699219
17,35000,net_eth0,13492.0,2350.13769531,13177.0,5950.20507812
17,36000,net_eth0,13179.0,2338.31542969,12904.0,5519.30273438
17,37000,net_eth0,12672.0,2181.18457031,12378.0,5538.52734375
17,38000,net_eth0,14632.0,2477.34375,14152.0,7650.64355469
17,39000,net_eth0,14255.0,2498.57128906,13951.0,6151.08203125
17,40000,net_eth0,14257.0,2512.76757812,13941.0,6083.41503906
17,41000,net_eth0,13773.0,2390.72851562,13459.0,6249.91308594
17,42000,net_eth0,13757.0,2346.99121094,13343.0,6796.97851562
17,43000,net_eth0,13660.0,2432.91308594,13444.0,5091.03027344
17,44000,net_eth0,13092.0,2288.49121094,12792.0,5821.84277344
17,45000,net_eth0,13893.0,2375.71582031,13485.0,6929.88574219
17,46000,net_eth0,15317.0,2680.91796875,14978.0,6703.47949219
17,47000,net_eth0,13830.0,2361.98339844,13434.0,6975.45019531
17,48000,net_eth0,13466.0,2309.65234375,13108.0,6293.06738281
17,49000,net_eth0,14130.0,2418.45898438,13710.0,7137.70996094
17,50000,net_eth0,13205.0,2284.30859375,12854.0,6270.96289062
17,51000,net_eth0,13998.0,2434.35644531,13651.0,6298.4375
17,52000,net_eth0,13189.0,2314.11132812,12896.0,5767.20507812
17,53000,net_eth0,14939.0,2623.49121094,14636.0,6271.34277344
17,54000,net_eth0,13631.0,2372.72460938,13298.0,6017.9296875
17,55000,net_eth0,12782.0,2189.81738281,12407.0,6468.16601562
17,56000,net_eth0,14009.0,2481.73339844,13766.0,5504.75683594
17,57000,net_eth0,14579.0,2524.44628906,14218.0,6579.54199219
17,58000,net_eth0,13197.0,2310.67675781,12940.0,5465.54589844
