tx_name,tx_count,tx_percent,tx_90th,tx_max,tx_limit,tx_rbk,tx_error,tx_dskipped
NEW_ORDER,87383,45.011%,0.029s,0.690s,5.0,0.916%,0,N/A
PAYMENT,83471,42.996%,0.015s,0.668s,5.0,N/A,0,N/A
ORDER_STATUS,7772,4.003%,0.010s,0.167s,5.0,N/A,0,N/A
STOCK_LEVEL,7745,3.989%,0.007s,0.025s,20.0,N/A,0,N/A
DELIVERY,7765,4.000%,0.000s,0.002s,5.0,N/A,0,N/A
DELIVERY_BG,7765,N/A,0.079s,0.672s,80.0,N/A,0,0
tpmC,17476.60,6794.946%,N/A,N/A,N/A,N/A,N/A,N/A
tpmTotal,38827.20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
