run,elapsed,device,rdiops,rdmerges,rdkbps,wriops,wrmerges,wrkbps
17,1000,blk_vda,358.0,0.0,32524.0,6821.0,505.0,114572.0
17,2000,blk_vda,83.0,0.0,5440.0,1168.0,266.0,32808.0
17,3000,blk_vda,70.0,0.0,3776.0,5395.0,332.0,73380.0
17,4000,blk_vda,38.0,0.0,2432.0,5524.0,360.0,71500.0
17,5000,blk_vda,33.0,0.0,2304.0,6554.0,680.0,76516.0
17,6000,blk_vda,35.0,0.0,2432.0,5920.0,287.0,69948.0
17,7000,blk_vda,67.0,0.0,5184.0,5999.0,385.0,99428.0
17,8000,blk_vda,125.0,0.0,9728.0,8153.0,328.0,118544.0
17,9000,blk_vda,112.0,0.0,8128.0,3490.0,339.0,72336.0
17,10000,blk_vda,75.0,0.0,5952.0,6476.0,322.0,88224.0
17,11000,blk_vda,60.0,0.0,4480.0,5288.0,351.0,76768.0
17,12000,blk_vda,71.0,0.0,4536.0,6640.0,352.0,85000.0
17,13000,blk_vda,55.0,0.0,6400.0,4988.0,255.0,60592.0
17,14000,blk_vda,60.0,0.0,4864.0,6277.0,310.0,77000.0
17,15000,blk_vda,52.0,0.0,2616.0,5475.0,306.0,67612.0
17,16000,blk_vda,72.0,0.0,5824.0,7116.0,299.0,80248.0
17,17000,blk_vda,68.0,0.0,4344.0,5585.0,327.0,67900.0
17,18000,blk_vda,79.0,0.0,4920.0,7991.0,274.0,85572.0
17,19000,blk_vda,98.0,0.0,6980.0,6375.0,269.0,71008.0
17,20000,blk_vda,108.0,76.0,14644.0,6055.0,252.0,71928.0
17,21000,blk_vda,89.0,0.0,6272.0,5351.0,258.0,60416.0
17,22000,blk_vda,55.0,0.0,4416.0,7337.0,316.0,77916.0
17,23000,blk_vda,73.0,0.0,5504.0,6202.0,270.0,67808.0
17,24000,blk_vda,58.0,0.0,5056.0,6723.0,279.0,72648.0
17,25000,blk_vda,85.0,0.0,6272.0,5257.0,240.0,57216.0
17,26000,blk_vda,68.0,0.0,6144.0,7836.0,320.0,81100.0
17,27000,blk_vda,98.0,0.0,6336.0,5047.0,539.0,55332.0
17,28000,blk_vda,51.0,0.0,3904.0,6131.0,232.0,64120.0
17,29000,blk_vda,71.0,0.0,5952.0,5482.0,226.0,59000.0
17,30000,blk_vda,42.0,0.0,4288.0,5938.0,267.0,67600.0
17,31000,blk_vda,57.0,0.0,4544.0,7298.0,333.0,115240.0
17,32000,blk_vda,72.0,0.0,5824.0,6129.0,332.0,95468.0
17,33000,blk_vda,88.0,0.0,8128.0,6267.0,325.0,87792.0
17,34000,blk_vda,73.0,0.0,5824.0,4837.0,321.0,69864.0
17,35000,blk_vda,52.0,0.0,4352.0,6399.0,391.0,84292.0
17,36000,blk_vda,85.0,0.0,7296.0,7130.0,311.0,85280.0
17,37000,blk_vda,71.0,0.0,6080.0,6939.0,294.0,80320.0
17,38000,blk_vda,58.0,0.0,4992.0,4185.0,295.0,58624.0
17,39000,blk_vda,55.0,0.0,4800.0,6246.0,295.0,73344.0
17,40000,blk_vda,81.0,0.0,7032.0,6031.0,311.0,70708.0
17,41000,blk_vda,72.0,0.0,7040.0,6316.0,289.0,71900.0
17,42000,blk_vda,58.0,0.0,6400.0,6504.0,259.0,71384.0
17,43000,blk_vda,55.0,0.0,4672.0,6842.0,275.0,73112.0
17,44000,blk_vda,106.0,13.0,7912.0,6886.0,254.0,73320.0
17,45000,blk_vda,84.0,0.0,7616.0,6694.0,299.0,71848.0
17,46000,blk_vda,93.0,0.0,7408.0,3610.0,260.0,45968.0
17,47000,blk_vda,66.0,0.0,6592.0,6736.0,231.0,70980.0
17,48000,blk_vda,97.0,0.0,7408.0,6704.0,229.0,69368.0
17,49000,blk_vda,101.0,0.0,11008.0,5505.0,232.0,59176.0
17,50000,blk_vda,81.0,0.0,6264.0,7930.0,285.0,80500.0
17,51000,blk_vda,79.0,0.0,8960.0,5547.0,575.0,57692.0
17,52000,blk_vda,89.0,0.0,8888.0,7156.0,241.0,72560.0
17,53000,blk_vda,57.0,0.0,5120.0,4144.0,224.0,45448.0
17,54000,blk_vda,63.0,0.0,6016.0,6091.0,209.0,61432.0
17,55000,blk_vda,60.0,0.0,4472.0,6876.0,365.0,109504.0
17,56000,blk_vda,76.0,0.0,6008.0,6289.0,373.0,95332.0
17,57000,blk_vda,99.0,0.0,6896.0,4380.0,345.0,69928.0
17,58000,blk_vda,54.0,0.0,4480.0,7035.0,369.0,90192.0
17,59000,blk_vda,77.0,0.0,7360.0,6241.0,344.0,79032.0
17,60000,blk_vda,89.0,0.0,6844.0,6163.0,307.0,75796.0
17,61000,blk_vda,80.0,0.0,7808.0,6466.0,309.0,77840.0
17,62000,blk_vda,84.0,0.0,6264.0,5018.0,298.0,63016.0
17,63000,blk_vda,59.0,0.0,5696.0,6189.0,315.0,73592.0
17,64000,blk_vda,63.0,0.0,8384.0,7119.0,313.0,79632.0
17,65000,blk_vda,82.0,0.0,6400.0,3770.0,301.0,50208.0
17,66000,blk_vda,51.0,0.0,4992.0,9009.0,275.0,93320.0
17,67000,blk_vda,86.0,0.0,6264.0,4048.0,268.0,50544.0
17,68000,blk_vda,96.0,0.0,8824.0,5526.0,239.0,60088.0
17,69000,blk_vda,89.0,0.0,5752.0,6562.0,282.0,71408.0
17,70000,blk_vda,89.0,0.0,8696.0,5397.0,264.0,60372.0
