tx_name,tx_count,tx_percent,tx_90th,tx_max,tx_limit,tx_rbk,tx_error,tx_dskipped
NEW_ORDER,58109,45.204%,0.543s,2.763s,5.0,1.065%,0,N/A
PAYMENT,55093,42.858%,0.314s,2.019s,5.0,N/A,0,N/A
ORDER_STATUS,5011,3.898%,0.226s,1.004s,5.0,N/A,0,N/A
STOCK_LEVEL,5273,4.102%,0.315s,1.358s,20.0,N/A,0,N/A
DELIVERY,5061,3.937%,0.000s,0.001s,5.0,N/A,0,N/A
DELIVERY_BG,5061,N/A,2.266s,30.998s,80.0,N/A,0,0
tpmC,11621.80,4518.585%,N/A,N/A,N/A,N/A,N/A,N/A
tpmTotal,25709.40,N/A,N/A,N/A,N/A,N/A,N/A,N/A
