run,elapsed,device,rdiops,rdmerges,rdkbps,wriops,wrmerges,wrkbps
18,146000,blk_vda,943.0,0.0,63684.0,3113.0,93.0,54520.0
18,147000,blk_vda,1378.0,36.0,82784.0,1703.0,95.0,48004.0
18,148000,blk_vda,1367.0,73.0,78000.0,1212.0,79.0,37824.0
18,149000,blk_vda,1408.0,52.0,88968.0,1321.0,74.0,35696.0
18,150000,blk_vda,1572.0,23.0,86816.0,1014.0,118.0,36428.0
18,151000,blk_vda,1132.0,0.0,96688.0,1225.0,83.0,28248.0
18,152000,blk_vda,1247.0,13.0,89608.0,1509.0,89.0,31112.0
18,153000,blk_vda,1367.0,56.0,88892.0,1639.0,93.0,36712.0
18,154000,blk_vda,1429.0,24.0,94472.0,1396.0,127.0,28120.0
18,155000,blk_vda,1393.0,6.0,90360.0,1717.0,131.0,32672.0
18,156000,blk_vda,1438.0,3.0,103720.0,1652.0,98.0,29400.0
18,157000,blk_vda,1489.0,34.0,105832.0,946.0,64.0,18248.0
18,158000,blk_vda,1227.0,0.0,99104.0,968.0,66.0,19608.0
18,159000,blk_vda,1415.0,5.0,106820.0,800.0,72.0,17896.0
18,160000,blk_vda,1344.0,2.0,103188.0,885.0,83.0,16736.0
18,161000,blk_vda,1504.0,98.0,121500.0,416.0,40.0,10236.0
18,162000,blk_vda,1288.0,37.0,90912.0,499.0,59.0,13800.0
18,163000,blk_vda,1572.0,26.0,131384.0,233.0,23.0,8624.0
18,164000,blk_vda,1593.0,57.0,113304.0,347.0,50.0,8852.0
18,165000,blk_vda,1605.0,74.0,109872.0,415.0,34.0,12672.0
18,166000,blk_vda,1531.0,57.0,111105.0,91.0,20.0,6230.5
18,167000,blk_vda,1688.0,23.0,112236.0,300.0,33.0,9984.0
18,168000,blk_vda,1336.0,91.0,120872.0,392.0,31.0,10288.0
18,169000,blk_vda,1388.0,36.0,106196.0,512.0,68.0,11192.0
18,170000,blk_vda,1433.0,21.0,104800.0,817.0,71.0,15676.0
18,171000,blk_vda,1779.0,45.0,108360.0,677.0,84.0,14876.0
18,172000,blk_vda,1567.0,25.0,118940.0,424.0,48.0,10648.0
18,173000,blk_vda,1417.0,83.0,101096.0,455.0,51.0,11672.0
18,174000,blk_vda,1429.0,44.0,98772.0,1118.0,66.0,18244.0
18,175000,blk_vda,1386.0,47.0,86928.0,2594.0,205.0,43636.0
18,176000,blk_vda,1521.0,88.0,108184.0,965.0,73.0,16960.0
18,177000,blk_vda,1675.0,32.0,95252.0,792.0,88.0,23500.0
18,178000,blk_vda,1504.0,37.0,85836.0,1716.0,124.0,26677.5
18,179000,blk_vda,1649.0,60.0,125068.0,399.0,53.0,11672.0
18,180000,blk_vda,1653.0,48.0,114920.0,293.0,41.0,9728.0
18,181000,blk_vda,1545.0,72.0,116060.0,294.0,30.0,8080.0
18,182000,blk_vda,1483.0,20.0,105280.0,873.0,90.0,16480.0
18,183000,blk_vda,1407.0,67.0,113964.0,645.0,51.0,12120.0
18,184000,blk_vda,1563.0,37.0,108440.0,500.0,42.0,10968.0
18,185000,blk_vda,1630.0,68.0,119592.0,278.0,31.0,6288.0
18,186000,blk_vda,1519.0,64.0,118568.0,353.0,50.0,6960.0
18,187000,blk_vda,1498.0,36.0,111508.0,272.0,30.0,7636.0
18,188000,blk_vda,1280.0,76.0,88716.0,1827.0,59.0,27528.0
18,189000,blk_vda,1239.0,55.0,89184.0,2132.0,125.0,32644.0
18,190000,blk_vda,991.0,60.0,56000.0,5066.0,227.0,62001.5
18,191000,blk_vda,806.0,12.0,43296.0,5809.0,270.0,74544.0
18,192000,blk_vda,699.0,66.0,35892.0,5768.0,350.0,90484.0
18,193000,blk_vda,667.0,86.0,39368.0,5056.0,400.0,82224.0
18,194000,blk_vda,1242.0,25.0,66024.0,3680.0,278.0,61256.0
18,195000,blk_vda,981.0,13.0,55756.0,3498.0,231.0,62528.0
18,196000,blk_vda,1201.0,89.0,75376.0,3433.0,205.0,48320.0
18,197000,blk_vda,778.0,0.0,58280.0,3970.0,204.0,68040.0
18,198000,blk_vda,1022.0,20.0,57056.0,5143.0,355.0,60448.0
18,199000,blk_vda,963.0,24.0,63196.0,3008.0,763.0,58416.0
18,200000,blk_vda,1043.0,23.0,56500.0,3329.0,125.0,67000.0
18,201000,blk_vda,1003.0,0.0,62180.0,3719.0,169.0,64172.0
18,202000,blk_vda,1112.0,53.0,60616.0,3306.0,183.0,60328.0
18,203000,blk_vda,1187.0,132.0,61888.0,3879.0,161.0,62368.0
18,204000,blk_vda,1174.0,37.0,67152.0,3869.0,193.0,57076.0
