run,elapsed,device,rxpktsps,rxkbps,txpktsps,txkbps
18,1000,net_eth0,6519.0,1678.78417969,6978.0,2731.28613281
18,2000,net_eth0,8066.0,1782.14550781,8455.0,4160.45019531
18,3000,net_eth0,4001.0,829.864257812,4329.0,2306.91210938
18,4000,net_eth0,6628.0,1350.0703125,7037.0,3344.38183594
18,5000,net_eth0,6746.0,1287.30859375,7148.0,3892.43652344
18,6000,net_eth0,10292.0,1988.46484375,10766.0,4982.9453125
18,7000,net_eth0,11623.0,2107.50195312,11975.0,6386.63867188
18,8000,net_eth0,11696.0,2102.06347656,12056.0,6136.70214844
18,9000,net_eth0,13357.0,2358.90429688,13562.0,7513.70996094
18,10000,net_eth0,13037.0,2282.75292969,13263.0,7436.37792969
18,11000,net_eth0,13463.0,2357.87402344,13674.0,7030.59082031
18,12000,net_eth0,12351.0,2171.83300781,12753.0,6080.77539062
18,13000,net_eth0,12910.0,2328.64746094,13301.0,6312.79101562
18,14000,net_eth0,13527.0,2424.328125,13773.0,6465.00097656
18,15000,net_eth0,12682.0,2211.60351562,12960.0,6720.93261719
18,16000,net_eth0,11945.0,2049.20605469,12389.0,7023.42480469
18,17000,net_eth0,9662.0,1726.5703125,10394.0,4135.8203125
18,18000,net_eth0,13611.0,2434.23046875,14419.0,6446.18554688
18,19000,net_eth0,13640.0,2476.74804688,14235.0,5336.265625
18,20000,net_eth0,13495.0,2390.84667969,14316.0,6273.30273438
18,21000,net_eth0,10853.0,1927.22070312,11436.0,5144.87597656
18,22000,net_eth0,9518.0,1713.36230469,10065.0,4138.1796875
18,23000,net_eth0,10380.0,1822.49121094,10979.0,4804.22363281
18,24000,net_eth0,10369.0,1825.73535156,10739.0,5269.30371094
18,25000,net_eth0,10762.0,1871.75878906,11238.0,5581.18554688
18,26000,net_eth0,10834.0,1916.8046875,11365.0,5112.04296875
18,27000,net_eth0,10958.0,1946.11914062,11423.0,5169.75
18,28000,net_eth0,11741.0,2104.55175781,12146.0,5385.13378906
18,29000,net_eth0,11413.0,2033.93457031,11797.0,5069.99316406
18,30000,net_eth0,11596.0,2064.31054688,12039.0,5367.27539062
18,31000,net_eth0,11730.0,2020.60644531,12023.0,6336.12890625
18,32000,net_eth0,14036.0,2461.93847656,14506.0,6756.07421875
18,33000,net_eth0,13490.0,2330.07714844,13972.0,7100.05078125
18,34000,net_eth0,14398.0,2529.27148438,15083.0,6556.015625
18,35000,net_eth0,14304.0,2503.59375,14619.0,6663.12011719
18,36000,net_eth0,14140.0,2492.8515625,14513.0,6880.55175781
18,37000,net_eth0,14169.0,2454.52050781,14740.0,7086.01855469
18,38000,net_eth0,13285.0,2369.71484375,13719.0,6100.04980469
18,39000,net_eth0,13098.0,2277.51269531,13610.0,6171.5
18,40000,net_eth0,13147.0,2310.21679688,13607.0,5956.74707031
18,41000,net_eth0,6593.0,1174.13671875,7028.0,2938.09570312
18,42000,net_eth0,11101.0,1946.65917969,11816.0,4757.29589844
18,43000,net_eth0,8689.0,1520.69433594,9110.0,4065.97753906
18,44000,net_eth0,11974.0,2094.96484375,12634.0,5815.140625
18,45000,net_eth0,9128.0,1577.16503906,9750.0,4553.97949219
18,46000,net_eth0,9375.0,1651.17871094,9958.0,4165.30664062
18,47000,net_eth0,12315.0,2143.26074219,12874.0,5677.43847656
18,48000,net_eth0,12407.0,2152.15039062,12849.0,6218.9453125
18,49000,net_eth0,10143.0,1749.30273438,10803.0,5028.30957031
18,50000,net_eth0,10095.0,1791.33789062,10595.0,4614.49902344
18,51000,net_eth0,11150.0,1917.98242188,11732.0,5540.61523438
18,52000,net_eth0,11696.0,2051.65527344,12274.0,5152.8828125
18,53000,net_eth0,8684.0,1482.98046875,8979.0,4496.68554688
18,54000,net_eth0,9470.0,1668.43359375,9828.0,4857.65820312
18,55000,net_eth0,10528.0,1829.45996094,11011.0,4908.12304688
18,56000,net_eth0,13649.0,2354.0078125,14201.0,7099.30175781
18,57000,net_eth0,12109.0,2119.94140625,12801.0,5728.75878906
18,58000,net_eth0,13778.0,2411.78222656,14345.0,6586.70898438
18,59000,net_eth0,12621.0,2167.4296875,13114.0,7011.5234375
18,60000,net_eth0,12362.0,2117.25390625,12878.0,6761.85351562
18,61000,net_eth0,9760.0,1689.11328125,10236.0,4964.54589844
18,62000,net_eth0,9458.0,1648.81933594,9818.0,4758.48828125
18,63000,net_eth0,12043.0,2119.88964844,12687.0,5333.88769531
18,64000,net_eth0,13869.0,2409.48535156,14498.0,7385.49316406
18,65000,net_eth0,13914.0,2410.07910156,14350.0,6789.46191406
18,66000,net_eth0,13986.0,2372.50488281,14482.0,8084.421875
18,67000,net_eth0,12102.0,2123.64453125,12599.0,5459.77636719
18,68000,net_eth0,13876.0,2425.26074219,14713.0,6797.32128906
18,69000,net_eth0,12517.0,2204.80859375,13194.0,6513.79980469
18,70000,net_eth0,8788.0,1499.84277344,9393.0,4589.09472656
18,71000,net_eth0,10853.0,1941.00585938,11437.0,4181.58203125
18,72000,net_eth0,7228.0,1320.38378906,7787.0,2916.69238281
18,73000,net_eth0,13793.0,2414.94042969,14848.0,5573.90039062
18,74000,net_eth0,10027.0,1820.11132812,10565.0,3715.01464844
18,75000,net_eth0,10325.0,1817.90234375,11012.0,4806.34375
18,76000,net_eth0,9179.0,1632.02441406,9743.0,4025.39550781
18,77000,net_eth0,8928.0,1600.47558594,9345.0,3978.87988281
18,78000,net_eth0,9428.0,1645.31640625,10241.0,4363.234375
18,79000,net_eth0,10018.0,1796.20898438,10718.0,4095.64453125
18,80000,net_eth0,8758.0,1477.27050781,9327.0,4813.46484375
18,81000,net_eth0,9306.0,1656.70507812,9684.0,4399.6484375
18,82000,net_eth0,7325.0,1248.33984375,7623.0,3923.66113281
18,83000,net_eth0,6590.0,1145.65917969,6922.0,3456.01074219
18,84000,net_eth0,7208.0,1246.0234375,7545.0,3721.04785156
18,85000,net_eth0,8821.0,1545.07519531,9344.0,4054.91503906
18,86000,net_eth0,7957.0,1416.26464844,8271.0,3724.0625
18,87000,net_eth0,8057.0,1417.67773438,8423.0,3875.60058594
18,88000,net_eth0,8732.0,1514.89746094,9188.0,4469.27148438
18,89000,net_eth0,9809.0,1697.78613281,10225.0,4993.77929688
18,90000,net_eth0,10235.0,1798.82128906,10628.0,5173.06152344
18,91000,net_eth0,10397.0,1808.57714844,10738.0,5174.7734375
18,92000,net_eth0,10602.0,1852.58691406,10937.0,5533.62207031
18,93000,net_eth0,10153.0,1792.14648438,10542.0,4817.62207031
18,94000,net_eth0,13855.0,2418.99414062,14429.0,6686.80859375
18,95000,net_eth0,13849.0,2387.42871094,14166.0,7891.64257812
18,96000,net_eth0,13594.0,2388.37011719,14146.0,6246.51171875
18,97000,net_eth0,13722.0,2459.1328125,14442.0,5562.03125
18,98000,net_eth0,13716.0,2356.76855469,14403.0,6895.68261719
18,99000,net_eth0,11584.0,2038.33007812,12063.0,5875.53515625
18,100000,net_eth0,10499.0,1819.41113281,10863.0,5565.27441406
18,101000,net_eth0,7216.0,1281.60644531,7588.0,3297.28320312
18,102000,net_eth0,8528.0,1455.75878906,8913.0,4936.16308594
18,103000,net_eth0,6521.0,1123.52246094,6881.0,3251.68261719
18,104000,net_eth0,9176.0,1606.62109375,9535.0,4479.82714844
18,105000,net_eth0,10220.0,1764.24609375,11009.0,4749.91113281
18,106000,net_eth0,6723.0,1223.65332031,7075.0,2782.46191406
18,107000,net_eth0,12099.0,2144.12109375,12791.0,5432.05566406
18,108000,net_eth0,8212.0,1418.07128906,8893.0,4250.78222656
18,109000,net_eth0,13254.0,2338.53710938,14052.0,5498.39746094
18,110000,net_eth0,9954.0,1745.20019531,10767.0,4863.59960938
18,111000,net_eth0,8658.0,1495.38574219,9148.0,4380.5546875
18,112000,net_eth0,9744.0,1668.54296875,10264.0,5301.82910156
18,113000,net_eth0,8773.0,1556.4140625,9258.0,3849.68652344
18,114000,net_eth0,7934.0,1428.71289062,8335.0,3575.05957031
18,115000,net_eth0,8780.0,1549.97265625,9264.0,3953.7890625
18,116000,net_eth0,9541.0,1645.56542969,10047.0,4619.77636719
18,117000,net_eth0,11615.0,2090.64941406,12193.0,4773.85449219
18,118000,net_eth0,9613.0,1718.77929688,10197.0,3999.28613281
18,119000,net_eth0,9981.0,1735.03320312,10530.0,4741.19042969
18,120000,net_eth0,9048.0,1589.63378906,9540.0,3930.51953125
18,121000,net_eth0,9469.0,1674.33203125,10008.0,4302.64453125
18,122000,net_eth0,8744.0,1538.40820312,9067.0,4563.67480469
18,123000,net_eth0,5799.0,972.793945312,6214.0,3019.16992188
18,124000,net_eth0,6579.0,1161.01367188,6882.0,3434.17871094
18,125000,net_eth0,8958.0,1576.93945312,9275.0,4593.38671875
18,126000,net_eth0,6661.0,1121.95410156,6899.0,3852.52539062
18,127000,net_eth0,8757.0,1512.68359375,9124.0,4564.21289062
18,128000,net_eth0,9359.0,1594.98828125,9803.0,5137.72558594
18,129000,net_eth0,9903.0,1715.64257812,10296.0,4984.15234375
18,130000,net_eth0,10257.0,1825.98339844,10658.0,4471.2890625
18,131000,net_eth0,9858.0,1741.16796875,10219.0,4955.72167969
18,132000,net_eth0,8819.0,1511.83691406,9184.0,4505.12890625
18,133000,net_eth0,13398.0,2302.6171875,13839.0,6475.16992188
18,134000,net_eth0,13104.0,2289.99121094,13717.0,6894.09863281
18,135000,net_eth0,11433.0,2030.66601562,12112.0,5146.15625
18,136000,net_eth0,10262.0,1786.62890625,10754.0,4711.41210938
18,137000,net_eth0,6830.0,1209.29296875,7082.0,3858.34960938
18,138000,net_eth0,11650.0,2016.91992188,12114.0,5624.92773438
18,139000,net_eth0,8109.0,1409.23730469,8451.0,3966.3046875
18,140000,net_eth0,8127.0,1430.2578125,8579.0,3932.36621094
18,141000,net_eth0,7481.0,1300.9296875,7864.0,3687.72460938
18,142000,net_eth0,12843.0,2232.98632812,13563.0,6374.56152344
18,143000,net_eth0,4599.0,774.493164062,4912.0,2715.56152344
18,144000,net_eth0,10692.0,1840.70507812,11513.0,5540.54785156
18,145000,net_eth0,8680.0,1548.53222656,9364.0,3985.71191406
18,146000,net_eth0,7583.0,1326.34082031,8068.0,3291.91210938
18,147000,net_eth0,10227.0,1771.08789062,10714.0,5293.33691406
18,148000,net_eth0,9498.0,1661.65136719,9880.0,4918.39746094
18,149000,net_eth0,8753.0,1525.99023438,9313.0,4343.8359375
18,150000,net_eth0,9319.0,1649.89648438,9970.0,4196.31933594
18,151000,net_eth0,7993.0,1435.36132812,8397.0,3460.59277344
18,152000,net_eth0,6213.0,1063.85058594,6633.0,3309.97460938
18,153000,net_eth0,8469.0,1491.13476562,8943.0,4287.53710938
18,154000,net_eth0,6626.0,1163.00292969,6957.0,3248.14941406
18,155000,net_eth0,7270.0,1286.73535156,7671.0,3200.36816406
18,156000,net_eth0,5786.0,1013.84375,6121.0,2765.54785156
18,157000,net_eth0,5727.0,1026.22753906,6025.0,2464.37695312
18,158000,net_eth0,5479.0,991.372070312,5858.0,2216.12207031
18,159000,net_eth0,5508.0,992.046875,5828.0,2143.83007812
18,160000,net_eth0,5376.0,942.681640625,5691.0,2455.86035156
18,161000,net_eth0,3155.0,544.110351562,3400.0,1550.35449219
18,162000,net_eth0,3893.0,662.830078125,4114.0,1978.75585938
18,163000,net_eth0,3744.0,644.859375,3969.0,1979.40332031
18,164000,net_eth0,3752.0,642.658203125,3988.0,1787.72558594
18,165000,net_eth0,4735.0,819.211914062,5018.0,2404.42089844
