run,elapsed,device,rxpktsps,rxkbps,txpktsps,txkbps
16,197000,net_eth0,3018.0,528.654296875,2956.0,1239.63183594
16,198000,net_eth0,3305.0,562.061523438,3192.0,1739.89550781
16,199000,net_eth0,3210.0,565.495117188,3163.0,1193.53125
16,200000,net_eth0,3305.0,585.0234375,3234.0,1481.14941406
16,201000,net_eth0,3369.0,570.034179688,3256.0,1842.12988281
16,202000,net_eth0,3043.0,543.676757812,3004.0,1044.94921875
16,203000,net_eth0,3220.0,570.823242188,3162.0,1228.81054688
16,204000,net_eth0,3278.0,548.4375,3175.0,1653.59863281
16,205000,net_eth0,3292.0,586.239257812,3240.0,1225.01171875
16,206000,net_eth0,3155.0,570.154296875,3120.0,1080.796875
16,207000,net_eth0,3144.0,547.787109375,3064.0,1427.87988281
16,208000,net_eth0,3343.0,597.052734375,3267.0,1498.41015625
16,209000,net_eth0,3294.0,575.028320312,3204.0,1595.30761719
16,210000,net_eth0,3246.0,578.649414062,3175.0,1346.36425781
16,211000,net_eth0,3110.0,542.126953125,3035.0,1396.70410156
16,212000,net_eth0,3242.0,568.90234375,3176.0,1357.62402344
16,213000,net_eth0,3318.0,576.017578125,3227.0,1594.55761719
16,214000,net_eth0,3309.0,589.203125,3245.0,1360.56347656
16,215000,net_eth0,3344.0,575.48046875,3262.0,1595.015625
16,216000,net_eth0,3035.0,532.243164062,2968.0,1284.875
16,217000,net_eth0,3457.0,567.180664062,3310.0,2083.9453125
16,218000,net_eth0,3285.0,564.509765625,3207.0,1441.45410156
16,219000,net_eth0,3230.0,574.088867188,3179.0,1208.94921875
16,220000,net_eth0,3305.0,562.498046875,3214.0,1571.07714844
16,221000,net_eth0,3321.0,561.818359375,3206.0,1827.03808594
16,222000,net_eth0,3288.0,558.609375,3198.0,1593.98925781
16,223000,net_eth0,3415.0,561.037109375,3279.0,2053.19921875
16,224000,net_eth0,3262.0,558.073242188,3172.0,1563.25683594
16,225000,net_eth0,3315.0,576.795898438,3253.0,1334.66894531
16,226000,net_eth0,3429.0,555.584960938,3280.0,2192.40429688
16,227000,net_eth0,3077.0,533.5625,3007.0,1414.40039062
16,228000,net_eth0,3369.0,598.770507812,3306.0,1367.15332031
16,229000,net_eth0,3364.0,583.267578125,3274.0,1607.25878906
16,230000,net_eth0,3294.0,574.509765625,3215.0,1464.39160156
16,231000,net_eth0,3246.0,572.21875,3178.0,1330.66796875
16,232000,net_eth0,3182.0,537.756835938,3076.0,1670.16308594
16,233000,net_eth0,3292.0,566.361328125,3188.0,1706.13378906
16,234000,net_eth0,3282.0,586.575195312,3230.0,1227.60546875
16,235000,net_eth0,3283.0,584.55859375,3235.0,1219.74707031
16,236000,net_eth0,3399.0,581.333984375,3299.0,1722.37695312
16,237000,net_eth0,3250.0,571.930664062,3199.0,1199.27929688
16,238000,net_eth0,3090.0,519.501953125,2999.0,1518.11230469
16,239000,net_eth0,3363.0,555.680664062,3245.0,1814.66210938
16,240000,net_eth0,3302.0,597.9453125,3265.0,1114.46777344
16,241000,net_eth0,3083.0,559.7265625,3070.0,808.370117188
16,242000,net_eth0,3253.0,563.3671875,3185.0,1311.50097656
16,243000,net_eth0,3276.0,592.87109375,3242.0,1113.48339844
16,244000,net_eth0,3325.0,584.883789062,3258.0,1348.5234375
16,245000,net_eth0,3312.0,554.669921875,3198.0,1838.54492188
16,246000,net_eth0,3549.0,582.056640625,3395.0,2220.8359375
16,247000,net_eth0,3341.0,604.19921875,3311.0,1049.62011719
