tx_name,tx_count,tx_percent,tx_90th,tx_max,tx_limit,tx_rbk,tx_error,tx_dskipped
NEW_ORDER,20801,44.389%,0.011s,0.042s,5.0,0.957%,0,N/A
PAYMENT,20482,43.708%,0.004s,0.025s,5.0,N/A,0,N/A
ORDER_STATUS,1795,3.830%,0.004s,0.023s,5.0,N/A,0,N/A
STOCK_LEVEL,1844,3.935%,0.003s,0.008s,20.0,N/A,0,N/A
DELIVERY,1939,4.138%,0.000s,0.001s,5.0,N/A,0,N/A
DELIVERY_BG,1939,N/A,0.025s,0.053s,80.0,N/A,0,0
tpmC,4160.20,1617.496%,N/A,N/A,N/A,N/A,N/A,N/A
tpmTotal,9372.20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
