run,elapsed,device,rdiops,rdmerges,rdkbps,wriops,wrmerges,wrkbps
16,1000,blk_vda,228.0,0.0,22676.0,535.0,78.0,13376.0
16,2000,blk_vda,200.0,0.0,19328.0,674.0,76.0,15208.0
16,3000,blk_vda,123.0,0.0,12096.0,704.0,84.0,15440.0
16,4000,blk_vda,116.0,0.0,8904.0,4019.0,215.0,63096.0
16,5000,blk_vda,90.0,0.0,6912.0,632.0,147.0,16180.0
16,6000,blk_vda,39.0,0.0,2688.0,653.0,86.0,13488.0
16,7000,blk_vda,38.0,0.0,2624.0,839.0,84.0,14480.0
16,8000,blk_vda,26.0,0.0,1924.0,757.0,84.0,13840.0
16,9000,blk_vda,12.0,0.0,768.0,828.0,93.0,14080.0
16,10000,blk_vda,21.0,0.0,1344.0,828.0,106.0,13780.0
16,11000,blk_vda,28.0,0.0,952.0,3407.0,125.0,39352.0
16,12000,blk_vda,13.0,0.0,2944.0,686.0,74.0,12448.0
16,13000,blk_vda,5.0,0.0,576.0,901.0,82.0,14584.0
16,14000,blk_vda,8.0,0.0,512.0,3494.0,103.0,37360.0
16,15000,blk_vda,4.0,0.0,384.0,2427.0,146.0,30740.0
16,16000,blk_vda,29.0,0.0,1992.0,851.0,80.0,12440.0
16,17000,blk_vda,27.0,0.0,1920.0,835.0,79.0,12608.0
16,18000,blk_vda,28.0,0.0,1920.0,729.0,84.0,11480.0
16,19000,blk_vda,35.0,0.0,1592.0,871.0,79.0,12832.0
16,20000,blk_vda,36.0,0.0,3840.0,921.0,87.0,12612.0
16,21000,blk_vda,43.0,0.0,3328.0,3559.0,86.0,36512.0
16,22000,blk_vda,32.0,0.0,2624.0,852.0,73.0,11896.0
16,23000,blk_vda,36.0,0.0,2944.0,767.0,70.0,11728.0
16,24000,blk_vda,42.0,0.0,3456.0,825.0,70.0,11920.0
16,25000,blk_vda,19.0,0.0,1408.0,805.0,93.0,12344.0
16,26000,blk_vda,33.0,0.0,2688.0,3564.0,92.0,36140.0
16,27000,blk_vda,66.0,0.0,5240.0,856.0,66.0,12144.0
16,28000,blk_vda,83.0,0.0,6336.0,824.0,61.0,11624.0
16,29000,blk_vda,78.0,0.0,6400.0,895.0,70.0,11720.0
16,30000,blk_vda,77.0,0.0,5636.0,793.0,82.0,10924.0
16,31000,blk_vda,64.0,0.0,5504.0,3050.0,81.0,31152.0
16,32000,blk_vda,61.0,0.0,4480.0,868.0,66.0,11352.0
16,33000,blk_vda,49.0,0.0,3520.0,813.0,68.0,10760.0
16,34000,blk_vda,78.0,0.0,4728.0,908.0,64.0,11400.0
16,35000,blk_vda,48.0,0.0,3712.0,2280.0,82.0,24100.0
16,36000,blk_vda,134.0,10.0,8408.0,864.0,65.0,11016.0
16,37000,blk_vda,46.0,0.0,3712.0,901.0,65.0,11896.0
16,38000,blk_vda,56.0,0.0,4800.0,3701.0,84.0,36744.0
16,39000,blk_vda,54.0,0.0,4032.0,948.0,59.0,11360.0
16,40000,blk_vda,44.0,0.0,3008.0,765.0,96.0,10284.0
16,41000,blk_vda,44.0,0.0,3392.0,876.0,63.0,10952.0
16,42000,blk_vda,41.0,0.0,3584.0,914.0,58.0,11208.0
