run,elapsed,latency,dblatency,ttype,rbk,dskipped,error
13,52,0,0,DELIVERY,0,0,0
13,91,0,0,DELIVERY,0,0,0
13,184,170,170,PAYMENT,0,0,0
13,190,171,171,PAYMENT,0,0,0
13,210,204,204,PAYMENT,0,0,0
13,250,245,245,PAYMENT,0,0,0
13,256,241,241,PAYMENT,0,0,0
13,258,250,250,PAYMENT,0,0,0
13,263,254,254,PAYMENT,0,0,0
13,266,256,256,PAYMENT,0,0,0
13,277,263,263,PAYMENT,0,0,0
13,282,273,273,PAYMENT,0,0,0
13,285,281,281,PAYMENT,0,0,0
13,285,244,244,ORDER_STATUS,0,0,0
13,285,277,277,PAYMENT,0,0,0
13,299,260,260,ORDER_STATUS,0,0,0
13,305,289,289,PAYMENT,0,0,0
13,316,278,278,PAYMENT,0,0,0
13,322,312,312,PAYMENT,0,0,0
13,322,311,311,PAYMENT,0,0,0
13,328,313,313,PAYMENT,0,0,0
13,337,248,248,ORDER_STATUS,0,0,0
13,338,330,330,PAYMENT,0,0,0
13,339,327,327,PAYMENT,0,0,0
13,343,322,322,PAYMENT,0,0,0
13,357,347,347,PAYMENT,0,0,0
13,363,344,344,PAYMENT,0,0,0
13,363,352,352,PAYMENT,0,0,0
13,363,352,352,PAYMENT,0,0,0
13,365,299,299,PAYMENT,0,0,0
13,369,298,298,PAYMENT,0,0,0
13,373,326,326,ORDER_STATUS,0,0,0
13,380,331,331,PAYMENT,0,0,0
13,380,334,334,PAYMENT,0,0,0
13,384,316,316,PAYMENT,0,0,0
13,389,378,378,PAYMENT,0,0,0
13,401,333,333,PAYMENT,0,0,0
13,401,0,0,DELIVERY,0,0,0
13,405,360,360,PAYMENT,0,0,0
13,407,394,394,PAYMENT,0,0,0
13,414,408,408,PAYMENT,0,0,0
13,420,366,366,PAYMENT,0,0,0
13,420,407,407,PAYMENT,0,0,0
13,426,375,375,PAYMENT,0,0,0
13,426,0,0,DELIVERY,0,0,0
13,440,373,373,PAYMENT,0,0,0
13,464,419,419,PAYMENT,0,0,0
13,474,426,426,PAYMENT,0,0,0
