run,elapsed,device,rdiops,rdmerges,rdkbps,wriops,wrmerges,wrkbps
13,1000,blk_vda,3.0,0.0,12.0,0.0,0.0,0.0
13,2000,blk_vda,0.0,0.0,0.0,6.0,10.0,104.0
13,3000,blk_vda,0.0,0.0,0.0,0.0,0.0,0.0
13,4000,blk_vda,1.0,0.0,4.0,0.0,0.0,0.0
13,5000,blk_vda,0.0,0.0,0.0,0.0,0.0,0.0
13,6000,blk_vda,1380.0,44.0,121592.0,180.0,4.0,916.0
13,7000,blk_vda,1559.0,7.0,120052.0,295.0,50.0,11652.0
13,8000,blk_vda,1539.0,0.0,113144.0,118.0,11.0,1200.0
13,9000,blk_vda,1385.0,0.0,93576.0,460.0,39.0,29360.0
13,10000,blk_vda,1728.0,0.0,114336.0,664.0,8.0,8464.0
13,11000,blk_vda,2143.0,48.0,117892.0,542.0,12.0,5060.0
13,12000,blk_vda,1845.0,77.0,119264.0,381.0,7.0,3604.0
13,13000,blk_vda,1733.0,39.0,115044.0,680.0,46.0,7864.0
13,14000,blk_vda,1521.0,0.0,112540.0,372.0,29.0,10332.0
13,15000,blk_vda,1697.0,111.0,110944.0,1379.0,213.0,11908.0
13,16000,blk_vda,1565.0,140.0,79784.0,2354.0,584.0,43096.0
13,17000,blk_vda,2023.0,43.0,115816.0,726.0,47.0,7084.0
13,18000,blk_vda,1539.0,25.0,118124.0,438.0,7.0,4760.0
13,19000,blk_vda,2293.0,68.0,117416.0,537.0,10.0,5444.0
13,20000,blk_vda,1792.0,93.0,86960.0,2645.0,278.0,35976.0
13,21000,blk_vda,2954.0,246.0,85760.0,2291.0,149.0,37112.0
13,22000,blk_vda,3020.0,129.0,119352.0,433.0,37.0,3476.0
13,23000,blk_vda,1589.0,57.0,96100.0,1499.0,228.0,26796.0
13,24000,blk_vda,1984.0,11.0,107016.0,303.0,23.0,15728.0
13,25000,blk_vda,1529.0,30.0,119992.0,301.0,6.0,2932.0
13,26000,blk_vda,1829.0,60.0,115864.0,516.0,16.0,6400.0
13,27000,blk_vda,1807.0,33.0,119412.0,371.0,22.0,4204.0
13,28000,blk_vda,1376.0,285.0,76424.0,3052.0,445.0,44544.0
13,29000,blk_vda,2650.0,186.0,97744.0,2461.0,325.0,27064.0
13,30000,blk_vda,2467.0,82.0,114076.0,933.0,152.0,8804.0
13,31000,blk_vda,2068.0,61.0,103488.0,1491.0,280.0,19392.0
13,32000,blk_vda,2148.0,240.0,90980.0,2612.0,540.0,31852.0
13,33000,blk_vda,2044.0,37.0,107788.0,207.0,20.0,15112.0
13,34000,blk_vda,1937.0,21.0,116600.0,693.0,14.0,6256.0
13,35000,blk_vda,1931.0,57.0,117276.0,488.0,16.0,5552.0
13,36000,blk_vda,1189.0,211.0,66372.0,3456.0,472.0,56608.0
13,37000,blk_vda,2801.0,560.0,85044.0,3586.0,379.0,37784.0
13,38000,blk_vda,2805.0,213.0,114708.0,499.0,56.0,8216.0
13,39000,blk_vda,1604.0,12.0,121272.0,134.0,9.0,1544.0
13,40000,blk_vda,1680.0,87.0,111172.0,448.0,70.0,11784.0
13,41000,blk_vda,1898.0,36.0,119064.0,382.0,11.0,3816.0
13,42000,blk_vda,1146.0,36.0,86140.0,2222.0,368.0,36720.0
13,43000,blk_vda,2194.0,554.0,82704.0,3899.0,575.0,39988.0
13,44000,blk_vda,2753.0,206.0,102180.0,1256.0,231.0,20844.0
13,45000,blk_vda,2115.0,48.0,108712.0,120.0,18.0,14208.0
13,46000,blk_vda,1859.0,75.0,121148.0,150.0,5.0,1696.0
13,47000,blk_vda,1473.0,98.0,99140.0,1891.0,186.0,21876.0
13,48000,blk_vda,2376.0,529.0,84980.0,3655.0,555.0,38796.0
13,49000,blk_vda,2525.0,144.0,102284.0,719.0,101.0,21624.0
13,50000,blk_vda,1991.0,133.0,112620.0,416.0,25.0,10204.0
13,51000,blk_vda,1576.0,33.0,118844.0,416.0,5.0,4056.0
13,52000,blk_vda,1258.0,107.0,102764.0,1793.0,370.0,19584.0
13,53000,blk_vda,2494.0,309.0,92324.0,2731.0,464.0,30988.0
13,54000,blk_vda,2170.0,227.0,86320.0,1867.0,246.0,36636.0
13,55000,blk_vda,2689.0,88.0,113404.0,296.0,17.0,9528.0
13,56000,blk_vda,1734.0,83.0,109984.0,1105.0,17.0,9924.0
13,57000,blk_vda,2071.0,71.0,97732.0,1947.0,184.0,28124.0
13,58000,blk_vda,2571.0,318.0,95664.0,2590.0,480.0,27180.0
13,59000,blk_vda,2268.0,120.0,100164.0,182.0,38.0,22752.0
13,60000,blk_vda,1678.0,57.0,118952.0,452.0,6.0,3928.0
13,61000,blk_vda,1351.0,56.0,92068.0,2263.0,318.0,30812.0
13,62000,blk_vda,1969.0,653.0,76504.0,4254.0,574.0,46336.0
13,63000,blk_vda,3087.0,235.0,100320.0,232.0,85.0,22168.0
13,64000,blk_vda,1986.0,78.0,120680.0,272.0,6.0,2632.0
13,65000,blk_vda,1719.0,12.0,118796.0,439.0,7.0,3764.0
13,66000,blk_vda,1365.0,74.0,109724.0,1556.0,313.0,13480.0
13,67000,blk_vda,1521.0,278.0,71904.0,3818.0,491.0,50976.0
13,68000,blk_vda,3123.0,230.0,92580.0,1650.0,171.0,27116.0
13,69000,blk_vda,2307.0,168.0,114184.0,558.0,26.0,11872.0
13,70000,blk_vda,1874.0,14.0,120560.0,242.0,7.0,2328.0
13,71000,blk_vda,1198.0,89.0,84832.0,2693.0,298.0,38048.0
13,72000,blk_vda,2684.0,595.0,97524.0,2650.0,478.0,25340.0
13,73000,blk_vda,2765.0,36.0,112776.0,1223.0,228.0,10016.0
13,74000,blk_vda,1609.0,36.0,96716.0,341.0,50.0,26264.0
13,75000,blk_vda,1480.0,97.0,82972.0,3519.0,296.0,39908.0
13,76000,blk_vda,2575.0,591.0,86336.0,2894.0,546.0,36508.0
13,77000,blk_vda,3177.0,174.0,107992.0,910.0,249.0,14904.0
13,78000,blk_vda,1907.0,34.0,107484.0,207.0,23.0,15368.0
13,79000,blk_vda,1781.0,32.0,118136.0,490.0,12.0,4744.0
13,80000,blk_vda,1227.0,401.0,71164.0,4656.0,603.0,50656.0
13,81000,blk_vda,3087.0,559.0,97476.0,1883.0,326.0,26504.0
13,82000,blk_vda,2183.0,84.0,95880.0,919.0,256.0,24944.0
13,83000,blk_vda,1931.0,95.0,121220.0,110.0,32.0,3724.0
13,84000,blk_vda,1935.0,31.0,118612.0,499.0,6.0,4216.0
13,85000,blk_vda,1262.0,113.0,82624.0,3444.0,404.0,40312.0
