run,elapsed,device,rxpktsps,rxkbps,txpktsps,txkbps
13,1000,net_eth0,290.0,43.12890625,258.0,46.2734375
13,2000,net_eth0,306.0,45.6875,272.0,49.01171875
13,3000,net_eth0,344.0,51.19140625,306.0,54.703125
13,4000,net_eth0,363.0,54.001953125,322.0,58.8134765625
13,5000,net_eth0,378.0,56.369140625,337.0,60.5087890625
13,6000,net_eth0,1506.0,372.466796875,1910.0,493.758789062
13,7000,net_eth0,1387.0,322.653320312,1909.0,547.848632812
13,8000,net_eth0,2089.0,442.331054688,2653.0,801.211914062
13,9000,net_eth0,1722.0,357.001953125,2192.0,660.560546875
13,10000,net_eth0,2014.0,394.081054688,2571.0,865.362304688
13,11000,net_eth0,1518.0,309.895507812,1946.0,688.969726562
13,12000,net_eth0,1817.0,334.061523438,2239.0,852.194335938
13,13000,net_eth0,1698.0,316.643554688,2088.0,720.633789062
13,14000,net_eth0,1918.0,356.686523438,2356.0,891.82421875
13,15000,net_eth0,1956.0,351.975585938,2447.0,889.766601562
13,16000,net_eth0,1722.0,302.909179688,2326.0,936.021484375
13,17000,net_eth0,1744.0,303.573242188,2078.0,825.9140625
13,18000,net_eth0,845.0,145.405273438,1101.0,419.4375
13,19000,net_eth0,1880.0,324.639648438,2248.0,897.206054688
13,20000,net_eth0,1414.0,236.192382812,1879.0,758.579101562
13,21000,net_eth0,1141.0,185.334960938,1388.0,586.653320312
13,22000,net_eth0,1251.0,203.071289062,1520.0,630.826171875
13,23000,net_eth0,1312.0,222.751953125,1688.0,770.875
13,24000,net_eth0,1470.0,230.046875,1764.0,833.58203125
13,25000,net_eth0,1543.0,249.930664062,1866.0,868.883789062
13,26000,net_eth0,1950.0,297.46484375,2295.0,1195.03125
13,27000,net_eth0,1981.0,293.997070312,2381.0,1171.79785156
13,28000,net_eth0,1464.0,222.825195312,2009.0,859.040039062
13,29000,net_eth0,1638.0,258.768554688,2106.0,1071.52050781
13,30000,net_eth0,1390.0,211.399414062,1725.0,755.8984375
13,31000,net_eth0,1725.0,254.59765625,2197.0,841.212890625
13,32000,net_eth0,1570.0,229.165039062,2180.0,828.788085938
13,33000,net_eth0,1015.0,161.982421875,1263.0,621.076171875
13,34000,net_eth0,2282.0,333.01171875,2701.0,1172.94824219
13,35000,net_eth0,2625.0,387.547851562,3071.0,1455.74023438
13,36000,net_eth0,1553.0,222.286132812,2217.0,857.219726562
13,37000,net_eth0,1494.0,227.372070312,1970.0,783.34375
13,38000,net_eth0,1594.0,238.58203125,1934.0,849.337890625
13,39000,net_eth0,1403.0,201.803710938,1637.0,707.138671875
13,40000,net_eth0,1533.0,223.2890625,1845.0,854.2109375
13,41000,net_eth0,1682.0,244.015625,2041.0,799.400390625
13,42000,net_eth0,1541.0,220.655273438,2032.0,771.33984375
13,43000,net_eth0,1417.0,216.35546875,2026.0,662.162109375
13,44000,net_eth0,1450.0,215.490234375,1873.0,659.311523438
13,45000,net_eth0,1074.0,164.065429688,1327.0,615.288085938
13,46000,net_eth0,1609.0,230.337890625,1963.0,626.03125
13,47000,net_eth0,1618.0,239.510742188,2015.0,693.237304688
13,48000,net_eth0,1623.0,240.697265625,2274.0,929.361328125
13,49000,net_eth0,1480.0,219.818359375,1789.0,840.860351562
13,50000,net_eth0,1236.0,173.916992188,1492.0,707.362304688
13,51000,net_eth0,950.0,139.506835938,1179.0,544.268554688
13,52000,net_eth0,1171.0,159.799804688,1724.0,609.159179688
13,53000,net_eth0,1951.0,295.984375,2497.0,781.310546875
13,54000,net_eth0,1583.0,226.317382812,2048.0,980.671875
13,55000,net_eth0,2097.0,306.68359375,2514.0,1001.91894531
13,56000,net_eth0,1969.0,286.243164062,2311.0,1029.05273438
13,57000,net_eth0,1842.0,257.533203125,2273.0,864.754882812
13,58000,net_eth0,2234.0,331.083984375,2894.0,1109.25292969
13,59000,net_eth0,1827.0,265.890625,2191.0,1070.30175781
13,60000,net_eth0,1681.0,238.310546875,1983.0,918.966796875
13,61000,net_eth0,1630.0,230.671875,2108.0,809.154296875
13,62000,net_eth0,1236.0,171.102539062,1846.0,710.594726562
13,63000,net_eth0,1517.0,224.122070312,1861.0,803.646484375
13,64000,net_eth0,1346.0,197.95703125,1655.0,611.352539062
13,65000,net_eth0,1545.0,218.012695312,1815.0,688.075195312
13,66000,net_eth0,1324.0,184.73046875,1871.0,582.274414062
13,67000,net_eth0,1560.0,226.130859375,2266.0,703.630859375
13,68000,net_eth0,1536.0,232.96875,1892.0,608.319335938
13,69000,net_eth0,2041.0,296.713867188,2438.0,965.091796875
13,70000,net_eth0,1973.0,292.408203125,2276.0,905.162109375
13,71000,net_eth0,1761.0,244.676757812,2227.0,660.66796875
13,72000,net_eth0,1576.0,235.111328125,2220.0,730.638671875
13,73000,net_eth0,2077.0,299.228515625,2531.0,952.453125
13,74000,net_eth0,1707.0,244.618164062,2057.0,927.62109375
13,75000,net_eth0,1943.0,272.95703125,2461.0,919.5703125
13,76000,net_eth0,1781.0,266.83984375,2439.0,941.375976562
13,77000,net_eth0,2012.0,277.233398438,2518.0,1100.02246094
13,78000,net_eth0,1635.0,240.138671875,1980.0,706.805664062
13,79000,net_eth0,2149.0,316.6015625,2561.0,891.397460938
13,80000,net_eth0,1643.0,229.978515625,2347.0,828.467773438
13,81000,net_eth0,1613.0,240.303710938,2032.0,775.883789062
13,82000,net_eth0,1433.0,203.703125,1761.0,705.087890625
13,83000,net_eth0,1047.0,148.266601562,1219.0,584.262695312
13,84000,net_eth0,1286.0,180.048828125,1589.0,527.780273438
13,85000,net_eth0,1579.0,228.920898438,2198.0,701.841796875
13,86000,net_eth0,1232.0,181.732421875,1800.0,765.049804688
13,87000,net_eth0,1262.0,185.625976562,1528.0,688.1171875
13,88000,net_eth0,2047.0,286.979492188,2389.0,1062.234375
13,89000,net_eth0,2367.0,333.1171875,2808.0,1074.31542969
13,90000,net_eth0,1648.0,234.080078125,2279.0,719.8828125
13,91000,net_eth0,2191.0,328.565429688,2806.0,879.5234375
13,92000,net_eth0,1998.0,286.94921875,2389.0,916.586914062
13,93000,net_eth0,2056.0,295.030273438,2465.0,1022.51074219
13,94000,net_eth0,2123.0,306.15234375,2472.0,1065.74609375
13,95000,net_eth0,1565.0,224.06640625,2252.0,770.704101562
13,96000,net_eth0,1635.0,241.116210938,1994.0,608.216796875
13,97000,net_eth0,1863.0,266.627929688,2509.0,803.326171875
13,98000,net_eth0,1792.0,264.599609375,2134.0,920.802734375
13,99000,net_eth0,1321.0,185.345703125,1723.0,669.171875
13,100000,net_eth0,1295.0,182.30078125,1989.0,687.360351562
13,101000,net_eth0,1175.0,181.029296875,1520.0,575.23046875
13,102000,net_eth0,1293.0,185.251953125,1535.0,641.831054688
13,103000,net_eth0,1982.0,288.376953125,2298.0,894.125976562
13,104000,net_eth0,1936.0,265.416015625,2695.0,1043.21777344
13,105000,net_eth0,2278.0,331.58984375,2920.0,1249.22558594
13,106000,net_eth0,2237.0,321.982421875,2679.0,1157.13964844
13,107000,net_eth0,1952.0,285.1171875,2274.0,1016.61621094
13,108000,net_eth0,1773.0,248.16015625,2380.0,830.145507812
13,109000,net_eth0,1262.0,177.267578125,1908.0,630.369140625
13,110000,net_eth0,1590.0,229.056640625,1932.0,717.877929688
13,111000,net_eth0,1843.0,261.16796875,2177.0,1010.98242188
13,112000,net_eth0,2156.0,307.092773438,2550.0,1009.40136719
13,113000,net_eth0,1835.0,266.64453125,2362.0,876.918945312
13,114000,net_eth0,1772.0,253.735351562,2361.0,1043.05957031
13,115000,net_eth0,1356.0,197.364257812,1828.0,632.376953125
13,116000,net_eth0,1390.0,193.916992188,1691.0,646.62890625
13,117000,net_eth0,2694.0,389.888671875,3116.0,1260.25195312
13,118000,net_eth0,1871.0,260.288085938,2658.0,900.321289062
13,119000,net_eth0,1363.0,194.70703125,1947.0,753.845703125
13,120000,net_eth0,1639.0,238.279296875,1977.0,833.920898438
13,121000,net_eth0,1193.0,180.331054688,1439.0,591.908203125
13,122000,net_eth0,1762.0,247.319335938,2079.0,738.025390625
13,123000,net_eth0,1220.0,174.390625,1712.0,633.986328125
13,124000,net_eth0,1364.0,190.05859375,1985.0,820.544921875
13,125000,net_eth0,1163.0,168.203125,1565.0,576.553710938
13,126000,net_eth0,1610.0,219.313476562,1925.0,843.368164062
13,127000,net_eth0,1651.0,244.608398438,1991.0,835.893554688
13,128000,net_eth0,1773.0,248.615234375,2088.0,846.543945312
13,129000,net_eth0,1382.0,189.399414062,2047.0,782.19140625
13,130000,net_eth0,1549.0,231.821289062,2089.0,688.881835938
13,131000,net_eth0,1584.0,222.462890625,1986.0,882.3359375
13,132000,net_eth0,1725.0,245.798828125,2073.0,865.60546875
13,133000,net_eth0,1732.0,237.28515625,2036.0,817.262695312
13,134000,net_eth0,1049.0,153.9140625,1650.0,482.044921875
13,135000,net_eth0,1192.0,184.62109375,1714.0,584.278320312
13,136000,net_eth0,1319.0,182.54296875,1695.0,680.37890625
13,137000,net_eth0,1319.0,188.233398438,1592.0,650.3515625
13,138000,net_eth0,1149.0,160.153320312,1390.0,676.266601562
13,139000,net_eth0,1075.0,152.275390625,1619.0,473.575195312
13,140000,net_eth0,1506.0,206.279296875,2208.0,851.495117188
13,141000,net_eth0,1429.0,213.548828125,1807.0,618.798828125
13,142000,net_eth0,1736.0,253.7734375,2031.0,776.796875
13,143000,net_eth0,1821.0,255.700195312,2133.0,744.357421875
13,144000,net_eth0,1747.0,247.137695312,2332.0,867.5625
13,145000,net_eth0,1589.0,223.120117188,2164.0,750.184570312
13,146000,net_eth0,1501.0,226.479492188,1786.0,724.8046875
13,147000,net_eth0,2182.0,311.870117188,2567.0,909.756835938
13,148000,net_eth0,1894.0,275.064453125,2291.0,830.8359375
13,149000,net_eth0,1400.0,193.361328125,2138.0,527.516601562
13,150000,net_eth0,1873.0,285.120117188,2277.0,735.739257812
13,151000,net_eth0,1580.0,222.573242188,2032.0,669.525390625
